year,month,indus_21_1,indus_21_2
2009,3,32549.6,1018039000000.0
2009,6,39379.299999999996,2377592000000.0
2009,9,41313.8,2308766000000.0
2009,12,46929.000000000015,2523255000000.0
2010,3,39365.2,1245964000000.0
2010,6,47423.0,2905830000000.0
2010,9,48907.3,2809375000000.0
2010,12,55934.29999999999,3143612000000.0
2011,3,47195.0,1701403000000.0
2011,6,56884.8,3751242000000.0
2011,9,58623.499999999985,3830233000000.0
2011,12,64335.5,3943471000000.0
2012,3,52317.4,2127000000000.0
2012,6,61434.1,4649785000000.001
2012,9,62257.29999999999,4589456999999.999
2012,12,68634.5,4500909000000.0
2013,3,55862.3,2463479000000.0
2013,6,65131.3,5341684000000.0
2013,9,66750.0,5455558000000.0
2013,12,74212.5,5219715000000.0
2014,3,59221.5,2825377000000.0
2014,6,69541.1,6093195000000.0
2014,9,71024.79999999999,6099391000000.0
2014,12,77784.4,5792723000000.0
2015,3,60724.7,3136072000000.0
2015,6,71147.40000000001,6608493000000.0
2015,9,71665.29999999999,6474358000000.002
2015,12,78502.9,6190076999999.998
2016,3,61385.1,3366400000000.0
2016,6,73730.69999999998,6803800000000.0
2016,9,75639.0,6579500000000.0
2016,12,85792.90000000002,6432900000000.0
2017,3,70084.4,3509400000000.0
2017,6,83128.5,7071300000000.0
2017,9,85233.0,6598000000000.0
2017,12,96176.69999999998,6396400000000.0
2018,3,77451.0,3581300000000.0
